"","grp","var1","var2","vcov","sdcor","Percent","RMSE","Repeatability","Rsquared","Trait"
"116","Range","(Intercept)",NA,3.67983936545965e-05,0.0060661679546973,0.0134912630629287,0.0202467726879539,0.569230268887836,0.811246212411999,"Gmb"
"117","Flight","(Intercept)",NA,0.00197928747947121,0.0444891838481131,0.725659068527619,0.0202467726879539,0.569230268887836,0.811246212411999,"Gmb"
"118","Rep","(Intercept)",NA,5.52455036754048e-07,0.000743273191198262,0.000202544608366561,0.0202467726879539,0.569230268887836,0.811246212411999,"Gmb"
"119","Residual",NA,NA,0.000514839577811298,0.0226900766374047,0.188753787588001,0.0202467726879539,0.569230268887836,0.811246212411999,"Gmb"
"120","Pedigree:Flight","(Intercept)",NA,2.31301290816591e-05,0.00480937928236681,0.0134160086932297,0.0101693145622268,0.648060533457416,0.92914923133749,"GmR"
"121","Pedigree","(Intercept)",NA,1.1452354897035e-05,0.00338413281314948,0.00664263015196077,0.0101693145622268,0.648060533457416,0.92914923133749,"GmR"
"122","Row","(Intercept)",NA,4.36640719632064e-06,0.00208959498379965,0.00253261694723826,0.0101693145622268,0.648060533457416,0.92914923133749,"GmR"
"123","Range","(Intercept)",NA,9.1632338446017e-06,0.00302708338910604,0.00531488711036866,0.0101693145622268,0.648060533457416,0.92914923133749,"GmR"
"124","Flight","(Intercept)",NA,0.00155373008987256,0.0394173830926478,0.901199311040233,0.0101693145622268,0.648060533457416,0.92914923133749,"GmR"
"125","Rep","(Intercept)",NA,7.54752630128951e-08,0.00027472761603613,4.37773944594073e-05,0.0101693145622268,0.648060533457416,0.92914923133749,"GmR"
"126","Residual",NA,NA,0.000122151637060703,0.0110522231727695,0.0708507686625101,0.0101693145622268,0.648060533457416,0.92914923133749,"GmR"
"127","Pedigree:Flight","(Intercept)",NA,0.00203602281120277,0.0451223094622025,0.0198753504205901,0.124106202659859,0.650924196858398,0.831157123069609,"GdB"
"128","Pedigree","(Intercept)",NA,0.00158840164928111,0.0398547569216161,0.0155057395302243,0.124106202659859,0.650924196858398,0.831157123069609,"GdB"
"129","Row","(Intercept)",NA,0.000891792980783388,0.0298629030869972,0.00870554980924875,0.124106202659859,0.650924196858398,0.831157123069609,"GdB"
"130","Range","(Intercept)",NA,0.00116365783918065,0.0341124293942934,0.0113594539295556,0.124106202659859,0.650924196858398,0.831157123069609,"GdB"
"131","Flight","(Intercept)",NA,0.079463522264826,0.281892749578321,0.775711029354713,0.124106202659859,0.650924196858398,0.831157123069609,"GdB"
"132","Rep","(Intercept)",NA,2.58939871185721e-12,1.60916087196315e-06,2.52773232665227e-11,0.124106202659859,0.650924196858398,0.831157123069609,"GdB"
"133","Residual",NA,NA,0.0172961956224555,0.131515001511065,0.168842876930391,0.124106202659859,0.650924196858398,0.831157123069609,"GdB"
"134","Pedigree:Flight","(Intercept)",NA,0.000262557467153036,0.0162036251238121,0.00902277613185028,0.0454810787805341,0.793320401144607,0.920308280176683,"GdR"
"135","Pedigree","(Intercept)",NA,0.000437446419763886,0.0209152198115125,0.0150328275101328,0.0454810787805341,0.793320401144607,0.920308280176683,"GdR"
